Name,Formula,Property,Value,Unit
Carbon dioxide,C=1 | O=2,UNII,142M471B3J,
Carbon dioxide,C=1 | O=2,UNII_Ref,{{fdacite|correct|FDA}},
Carbon dioxide,C=1 | O=2,EINECS,204-696-9,
Carbon dioxide,C=1 | O=2,UNNumber,1013,"(gas), 1845 (solid)"
Carbon dioxide,C=1 | O=2,KEGG_Ref,{{keggcite|correct|kegg}},
Carbon dioxide,C=1 | O=2,KEGG,D00004,
Carbon dioxide,C=1 | O=2,MeSHName,Carbon+dioxide,
Carbon dioxide,C=1 | O=2,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbon dioxide,C=1 | O=2,ChEBI,16526,
Carbon dioxide,C=1 | O=2,RTECS,FF6400000,
Carbon dioxide,C=1 | O=2,Beilstein,1900390,
Carbon dioxide,C=1 | O=2,Gmelin,989,
Carbon dioxide,C=1 | O=2,3DMet,B01131,
Carbon dioxide,C=1 | O=2,SMILES,O=C=O,
Carbon dioxide,C=1 | O=2,SMILES1,C(=O)=O,
Carbon dioxide,C=1 | O=2,StdInChI,1S/CO2/c2-1-3,
Carbon dioxide,C=1 | O=2,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbon dioxide,C=1 | O=2,InChI,1/CO2/c2-1-3,
Carbon dioxide,C=1 | O=2,StdInChIKey,CURLTUGMZLYLDI-UHFFFAOYSA-N,
Carbon dioxide,C=1 | O=2,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbon dioxide,C=1 | O=2,InChIKey,CURLTUGMZLYLDI-UHFFFAOYAO}},
Carbon dioxide,C=1 | O=2,Appearance,Colorless gas,
Carbon dioxide,C=1 | O=2,Odor,Odorless,
Carbon dioxide,C=1 | O=2,Density,1562,kg/m3 (solid at 1&nbsp;atm and −78.5&nbsp;°C)1101 kg/m3 (liquid at saturation −37°C)1.977&nbsp;kg/m3 (gas at 1&nbsp;atm and 0&nbsp;°C)
Carbon dioxide,C=1 | O=2,Solubility,1.45,"g/L at {{convert|25|C}}, 100 kPa"
Carbon dioxide,C=1 | O=2,SublimationConditions,78.5,°C; −109.2 °F; 194.7 K (1 atm)
Carbon dioxide,C=1 | O=2,MeltingPtK,216.6,
Carbon dioxide,C=1 | O=2,MeltingPt_notes,5.1,atm)
Carbon dioxide,C=1 | O=2,pKa,"6.35, 10.33",
Carbon dioxide,C=1 | O=2,RefractIndex,1.00045,
Carbon dioxide,C=1 | O=2,Viscosity,0.07,[[Poise|cP]] at −78.5&nbsp;°C
Carbon dioxide,C=1 | O=2,VaporPressure,5.73,MPa (20 °C)
Carbon dioxide,C=1 | O=2,Dipole,0,D
Carbon dioxide,C=1 | O=2,CrystalStruct,trigonal,
Carbon dioxide,C=1 | O=2,MolShape,[[Linear (chemistry)|linear]],
Carbon dioxide,C=1 | O=2,DeltaHf,−393.5&nbsp;kJ·mol−1,
Carbon dioxide,C=1 | O=2,HeatCapacity,37.135,J/K mol
Carbon dioxide,C=1 | O=2,Entropy,214&nbsp;J·mol−1·K−1,
Carbon dioxide,C=1 | O=2,ATCCode_prefix,V03,
Carbon dioxide,C=1 | O=2,ATCCode_suffix,AN02,
Carbon dioxide,C=1 | O=2,ExternalSDS,[http://www.sigmaaldrich.com/MSDS/MSDS/DisplayMSDSPage.do?country=PL&language=EN-generic&productNumber=295108&brand=ALDRICH&PageToGoToURL=http%3A%2F%2Fwww.sigmaaldrich.com%2Fcatalog%2Fproduct%2Faldrich%2F295108%3Flang%3Dpl Sigma-Aldrich],
Carbon dioxide,C=1 | O=2,NFPA-H,1,
Carbon dioxide,C=1 | O=2,NFPA-F,0,
Carbon dioxide,C=1 | O=2,NFPA-R,0,
Carbon dioxide,C=1 | O=2,PEL,5000,ppm (9000 mg/m3)
Carbon dioxide,C=1 | O=2,IDLH,000,ppm
Carbon dioxide,C=1 | O=2,OtherAnions,[[Carbon disulfide]][[Carbon diselenide]][[Carbon ditelluride]],
Carbon dioxide,C=1 | O=2,OtherCations,[[Silicon dioxide]][[Germanium dioxide]][[Tin dioxide]][[Lead dioxide]],
Carbon dioxide,C=1 | O=2,OtherFunction_label,[[carbon]] [[oxide]]s,
Carbon dioxide,C=1 | O=2,OtherFunction,[[Carbon monoxide]][[Carbon suboxide]][[Dicarbon monoxide]][[Carbon trioxide]],
Carbon dioxide,C=1 | O=2,OtherCompounds,[[Carbonic acid]][[Carbonyl sulfide]],
Carbon disulfide,C=1 | S=2,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbon disulfide,C=1 | S=2,ChEBI,23012,
Carbon disulfide,C=1 | S=2,SMILES,C(=S)=S,
Carbon disulfide,C=1 | S=2,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbon disulfide,C=1 | S=2,ChemSpiderID,6108,
Carbon disulfide,C=1 | S=2,UNII_Ref,{{fdacite|correct|FDA}},
Carbon disulfide,C=1 | S=2,UNII,S54S8B99E8,
Carbon disulfide,C=1 | S=2,InChI,1/CS2/c2-1-3,
Carbon disulfide,C=1 | S=2,InChIKey,QGJOPFRUJISHPQ-UHFFFAOYAS,
Carbon disulfide,C=1 | S=2,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbon disulfide,C=1 | S=2,StdInChI,1S/CS2/c2-1-3,
Carbon disulfide,C=1 | S=2,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbon disulfide,C=1 | S=2,StdInChIKey,QGJOPFRUJISHPQ-UHFFFAOYSA-N,
Carbon disulfide,C=1 | S=2,CASNo,75-15-0,
Carbon disulfide,C=1 | S=2,CASNo_Ref,{{cascite|correct|CAS}},
Carbon disulfide,C=1 | S=2,PubChem,6348,
Carbon disulfide,C=1 | S=2,EINECS,200-843-6,
Carbon disulfide,C=1 | S=2,RTECS,FF6650000,
Carbon disulfide,C=1 | S=2,UNNumber,1131,
Carbon disulfide,C=1 | S=2,KEGG_Ref,{{keggcite|changed|kegg}},
Carbon disulfide,C=1 | S=2,KEGG,C19033,
Carbon disulfide,C=1 | S=2,Appearance,Colorless liquid Impure: light-yellow,
Carbon disulfide,C=1 | S=2,Odor,[[Chloroform]] (pure) Foul (commercial),
Carbon disulfide,C=1 | S=2,Density,1.539,g/cm3 (-186°C) 1.2927 g/cm3 (0 °C) 1.266 g/cm3 (25 °C) 0.014 g/100 mL (50 °C)
Carbon disulfide,C=1 | S=2,MolShape,Linear,
Carbon disulfide,C=1 | S=2,Dipole,0,D (20 °C)
Carbon disulfide,C=1 | S=2,DeltaHf,88.7,kJ/mol
Carbon disulfide,C=1 | S=2,DeltaGf,64.4,kJ/mol
Carbon disulfide,C=1 | S=2,Entropy,151,J/mol·K
Carbon disulfide,C=1 | S=2,HeatCapacity,75.73,J/mol·K
Carbon disulfide,C=1 | S=2,DeltaHc,1687.2,kJ/mol
Carbon disulfide,C=1 | S=2,GHSPictograms,{{GHS02}}{{GHS07}}{{GHS08}},
Carbon disulfide,C=1 | S=2,GHSSignalWord,Danger,
Carbon disulfide,C=1 | S=2,HPhrases,{{H-phrases|225|315|319|361|372}},
Carbon disulfide,C=1 | S=2,REL,1,ppm (3 mg/m3) ST 10 ppm (30 mg/m3) [skin]
Carbon disulfide,C=1 | S=2,LCLo,4000,"ppm (human, 30 min)"
Carbon disulfide,C=1 | S=2,OtherCompounds,[[Carbon dioxide]][[Carbonyl sulfide]][[Carbon diselenide]],
Carbon monoxide,CO,InChI,1/CO/c1-2,
Carbon monoxide,CO,InChIKey,UGFAIRIUMAVXCW-UHFFFAOYAT,
Carbon monoxide,CO,CASNo,630-08-0,
Carbon monoxide,CO,CASNo_Ref,{{cascite|correct|CAS}},
Carbon monoxide,CO,PubChem,281,
Carbon monoxide,CO,ChemSpiderID,275,
Carbon monoxide,CO,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbon monoxide,CO,UNII_Ref,{{fdacite|correct|FDA}},
Carbon monoxide,CO,UNII,7U1EE4V452,
Carbon monoxide,CO,EINECS,211-128-3,
Carbon monoxide,CO,UNNumber,1016,
Carbon monoxide,CO,KEGG_Ref,{{keggcite|correct|kegg}},
Carbon monoxide,CO,KEGG,D09706,
Carbon monoxide,CO,MeSHName,Carbon+monoxide,
Carbon monoxide,CO,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbon monoxide,CO,ChEBI,17245,
Carbon monoxide,CO,RTECS,FG3500000,
Carbon monoxide,CO,SMILES,[C-]#[O+],
Carbon monoxide,CO,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbon monoxide,CO,StdInChI,1S/CO/c1-2,
Carbon monoxide,CO,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbon monoxide,CO,StdInChIKey,UGFAIRIUMAVXCW-UHFFFAOYSA-N,
Carbon monoxide,CO,Beilstein,3587264,
Carbon monoxide,CO,Gmelin,421}},
Carbon monoxide,CO,MolarMass,28.010,g/mol
Carbon monoxide,CO,Appearance,colorless gas,
Carbon monoxide,CO,Odor,odorless,
Carbon monoxide,CO,Density,3,"at 0&nbsp;°C, 1&nbsp;atm1.145&nbsp;kg/m3 at 25&nbsp;°C, 1&nbsp;atm"
Carbon monoxide,CO,Solubility,27.6&nbsp;mg/L (25&nbsp;°C),
Carbon monoxide,CO,SolubleOther,"soluble in [[chloroform]], [[acetic acid]], [[ethyl acetate]], [[ethanol]], [[ammonium hydroxide]], [[benzene]]",
Carbon monoxide,CO,MeltingPtC,−205.02,
Carbon monoxide,CO,BoilingPtC,−191.5,
Carbon monoxide,CO,Dipole,0.122,[[Debye|D]]
Carbon monoxide,CO,RefractIndex,1.0003364,
Carbon monoxide,CO,HenryConstant,1.04,atm-m3/mol
Carbon monoxide,CO,HeatCapacity,29.1,J/K mol
Carbon monoxide,CO,Entropy,197.7,J·mol−1·K−1
Carbon monoxide,CO,DeltaHf,110.5,kJ·mol−1
Carbon monoxide,CO,DeltaHc,283.4,kJ/mol
Carbon monoxide,CO,ExternalSDS,[http://www.inchem.org/documents/icsc/icsc/eics0023.htm ICSC 0023],
Carbon monoxide,CO,EUClass,{{Hazchem F}} {{Hazchem T+}},
Carbon monoxide,CO,NFPA-H,3,
Carbon monoxide,CO,NFPA-F,4,
Carbon monoxide,CO,NFPA-R,0,
Carbon monoxide,CO,RPhrases,{{R61}} {{R12}} {{R26}} {{R48/23}},
Carbon monoxide,CO,SPhrases,{{S53}} {{S45}},
Carbon monoxide,CO,FlashPtC,−191,
Carbon monoxide,CO,AutoignitionPtC,609,
Carbon monoxide,CO,ExploLimits,12.5–74.2%,
Carbon monoxide,CO,PEL,50,ppm (55 mg/m3)
Carbon monoxide,CO,REL,35,ppm (40 mg/m3) C 200 ppm (229 mg/m3)
Carbon monoxide,CO,IDLH,1200,ppm
Carbon monoxide,CO,LC50,8636,"ppm (rat, 15 min)5207 ppm (rat, 30 min)1784 ppm (rat, 4 hr)2414 ppm (mouse, 4 hr)5647 ppm (guinea pig, 4 hr)"
Carbon monoxide,CO,LCLo,4000,"ppm (human, 30 min)5000 ppm (human, 5 min)"
Carbon monoxide,CO,OtherFunction_label,carbon oxides,
Carbon monoxide,CO,OtherFunction,[[Carbon dioxide]][[Carbon suboxide]][[Oxocarbon]]s,
Carbon tetrachloride,C=1 | Cl=4,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbon tetrachloride,C=1 | Cl=4,ChemSpiderID,5730,
Carbon tetrachloride,C=1 | Cl=4,UNII_Ref,{{fdacite|correct|FDA}},
Carbon tetrachloride,C=1 | Cl=4,UNII,CL2T97X0V0,
Carbon tetrachloride,C=1 | Cl=4,InChIKey,VZGDMQKNWNREIO-UHFFFAOYAV,
Carbon tetrachloride,C=1 | Cl=4,ChEMBL_Ref,{{ebicite|correct|EBI}},
Carbon tetrachloride,C=1 | Cl=4,ChEMBL,44814,
Carbon tetrachloride,C=1 | Cl=4,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbon tetrachloride,C=1 | Cl=4,StdInChI,"1S/CCl4/c2-1(3,4)5",
Carbon tetrachloride,C=1 | Cl=4,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbon tetrachloride,C=1 | Cl=4,StdInChIKey,VZGDMQKNWNREIO-UHFFFAOYSA-N,
Carbon tetrachloride,C=1 | Cl=4,CASNo,56-23-5,
Carbon tetrachloride,C=1 | Cl=4,CASNo_Ref,{{cascite|correct|CAS}},
Carbon tetrachloride,C=1 | Cl=4,EINECS,200-262-8,
Carbon tetrachloride,C=1 | Cl=4,PubChem,5943,
Carbon tetrachloride,C=1 | Cl=4,SMILES,ClC(Cl)(Cl)Cl,
Carbon tetrachloride,C=1 | Cl=4,InChI,"1/CCl4/c2-1(3,4)5",
Carbon tetrachloride,C=1 | Cl=4,RTECS,FG4900000,
Carbon tetrachloride,C=1 | Cl=4,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbon tetrachloride,C=1 | Cl=4,ChEBI,27385,
Carbon tetrachloride,C=1 | Cl=4,KEGG_Ref,{{keggcite|correct|kegg}},
Carbon tetrachloride,C=1 | Cl=4,KEGG,C07561,
Carbon tetrachloride,C=1 | Cl=4,UNNumber,1846,
Carbon tetrachloride,C=1 | Cl=4,Appearance,colourless liquid,
Carbon tetrachloride,C=1 | Cl=4,Odor,[[ether]]-like odor,
Carbon tetrachloride,C=1 | Cl=4,Density,1.5867,g cm&minus;3 (liquid) 1.831 g cm&minus;3 at &minus;186 °C (solid) 1.809 g cm&minus;3 at &minus;80 °C (solid)
Carbon tetrachloride,C=1 | Cl=4,MeltingPtC,-22.92,
Carbon tetrachloride,C=1 | Cl=4,BoilingPtC,76.72,
Carbon tetrachloride,C=1 | Cl=4,Solubility,0.097,g/100 mL (0 °C)  0.081 g/100 mL (25 °C)
Carbon tetrachloride,C=1 | Cl=4,SolubleOther,"soluble in [[alcohol]], [[ether]], [[chloroform]], [[benzene]], [[naphtha]], [[carbon disulfide|CS2]], [[formic acid]]",
Carbon tetrachloride,C=1 | Cl=4,LogP,2.64,
Carbon tetrachloride,C=1 | Cl=4,VaporPressure,11.94,kPa at 20 °C
Carbon tetrachloride,C=1 | Cl=4,HenryConstant,2,atm-cu m/mol
Carbon tetrachloride,C=1 | Cl=4,RefractIndex,1.4607,
Carbon tetrachloride,C=1 | Cl=4,Dipole,0,D
Carbon tetrachloride,C=1 | Cl=4,CrystalStruct,[[Monoclinic]],
Carbon tetrachloride,C=1 | Cl=4,Coordination,Tetragonal,
Carbon tetrachloride,C=1 | Cl=4,MolShape,[[Tetrahedron|Tetrahedral]],
Carbon tetrachloride,C=1 | Cl=4,DeltaHf,-139.3,kJ/mol
Carbon tetrachloride,C=1 | Cl=4,DeltaGf,-686,kJ/mol
Carbon tetrachloride,C=1 | Cl=4,Entropy,214.42,J/mol K
Carbon tetrachloride,C=1 | Cl=4,HeatCapacity,132.6,J/mol K
Carbon tetrachloride,C=1 | Cl=4,ExternalSDS,[http://www.ilo.org/public/english/protection/safework/cis/products/icsc/dtasht/_icsc00/icsc0024.htm ICSC 0024],
Carbon tetrachloride,C=1 | Cl=4,EUClass,{{Hazchem T}} {{Hazchem N}},
Carbon tetrachloride,C=1 | Cl=4,NFPA-H,3,
Carbon tetrachloride,C=1 | Cl=4,NFPA-F,0,
Carbon tetrachloride,C=1 | Cl=4,NFPA-R,0,
Carbon tetrachloride,C=1 | Cl=4,RPhrases,"{{R23/24/25}}, {{R40}}, {{R48/23}}, {{R59}}, {{R52/53}}",
Carbon tetrachloride,C=1 | Cl=4,SPhrases,"{{S1/2}}, {{S23}}, {{S36/37}}, {{S45}}, {{S59}}, {{S61}}",
Carbon tetrachloride,C=1 | Cl=4,FlashPt,Non-flammable,
Carbon tetrachloride,C=1 | Cl=4,AutoignitionPtC,982,
Carbon tetrachloride,C=1 | Cl=4,LD50,2350,mg/kg
Carbon tetrachloride,C=1 | Cl=4,PEL,10,ppm C 25 ppm 200 ppm (5-minute maximum peak in any 4 hours)
Carbon tetrachloride,C=1 | Cl=4,IDLH,200,ppm
Carbon tetrachloride,C=1 | Cl=4,LCLo,1000,"ppm (human)20,000 ppm (guinea pig, 2 hr)38,110 ppm (cat, 2 hr)50,000 ppm (human, 5 min)14,620 ppm (dog, 8 hr)"
Carbon tetrachloride,C=1 | Cl=4,OtherFunction_label,chloromethanes,
Carbon tetrachloride,C=1 | Cl=4,OtherCations,[[Silicon tetrachloride]][[Germanium tetrachloride]][[Tin tetrachloride]][[Lead tetrachloride]],
Carbon tetrachloride,C=1 | Cl=4,OtherFunction,[[Chloromethane]][[Dichloromethane]][[Chloroform]],
Carbon tetrachloride,C=1 | Cl=4,OtherCompounds,[[Tetrafluoromethane]][[Tetrabromomethane]][[Tetraiodomethane]],
Carbon tetraiodide,C=1 | I=4,CASNo,507-25-5,
Carbon tetraiodide,C=1 | I=4,CASNo_Ref,{{cascite|changed|??}},
Carbon tetraiodide,C=1 | I=4,PubChem,10487,
Carbon tetraiodide,C=1 | I=4,ChemSpiderID,10055,
Carbon tetraiodide,C=1 | I=4,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbon tetraiodide,C=1 | I=4,EINECS,208-068-5,
Carbon tetraiodide,C=1 | I=4,RTECS,FG4960000,
Carbon tetraiodide,C=1 | I=4,Beilstein,1733108,
Carbon tetraiodide,C=1 | I=4,SMILES,IC(I)(I)I,
Carbon tetraiodide,C=1 | I=4,StdInChI,"1S/CI4/c2-1(3,4)5",
Carbon tetraiodide,C=1 | I=4,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbon tetraiodide,C=1 | I=4,StdInChIKey,JOHCVVJGGSABQY-UHFFFAOYSA-N,
Carbon tetraiodide,C=1 | I=4,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbon tetraiodide,C=1 | I=4,Appearance,Dark violet crystals,
Carbon tetraiodide,C=1 | I=4,Density,4.32,g mL−1
Carbon tetraiodide,C=1 | I=4,CrystalStruct,Tetragonal,
Carbon tetraiodide,C=1 | I=4,MolShape,Tetrahedral,
Carbon tetraiodide,C=1 | I=4,Dipole,0,D
Carbon tetraiodide,C=1 | I=4,DeltaHf,400.4,kJ mol−1
Carbon tetraiodide,C=1 | I=4,DeltaHc,778.4,kJ mol−1
Carbon tetraiodide,C=1 | I=4,HeatCapacity,0.500,J K−1 g−1
Carbon tetraiodide,C=1 | I=4,GHSPictograms,{{GHS exclamation mark}},
Carbon tetraiodide,C=1 | I=4,GHSSignalWord,'''WARNING''',
Carbon tetraiodide,C=1 | I=4,HPhrases,{{H-phrases|315|319|335}},
Carbon tetraiodide,C=1 | I=4,PPhrases,{{P-phrases|261|305+351+338}},
Carbon tetraiodide,C=1 | I=4,EUClass,{{Hazchem Xi}},
Carbon tetraiodide,C=1 | I=4,RPhrases,{{R36/37/38}},
Carbon tetraiodide,C=1 | I=4,SPhrases,"{{S26}}, {{S36}}",
Carbon tetraiodide,C=1 | I=4,OtherFunction_label,alkanes,
Carbon tetraiodide,C=1 | I=4,OtherFunction,{{Unbulleted list|[[Methane]]|[[Methyl iodide]]|[[Diiodomethane]]|[[Iodoform]]|[[Ethane]]|[[Ethyl iodide]]}}| OtherCompounds = {{Unbulleted list|[[Pimagedine]]|[[Guanidine]]}},
Carbonic acid,H2CO3,KEGG_Ref,{{keggcite|correct|kegg}},
Carbonic acid,H2CO3,KEGG,C01353,
Carbonic acid,H2CO3,InChI,"1/CH2O3/c2-1(3)4/h(H2,2,3,4)",
Carbonic acid,H2CO3,InChIKey,BVKZGUZCCUSVTD-UHFFFAOYAU,
Carbonic acid,H2CO3,ChEMBL_Ref,{{ebicite|correct|EBI}},
Carbonic acid,H2CO3,ChEMBL,1161632,
Carbonic acid,H2CO3,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbonic acid,H2CO3,StdInChI,"1S/CH2O3/c2-1(3)4/h(H2,2,3,4)",
Carbonic acid,H2CO3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbonic acid,H2CO3,StdInChIKey,BVKZGUZCCUSVTD-UHFFFAOYSA-N,
Carbonic acid,H2CO3,CASNo,463-79-6,
Carbonic acid,H2CO3,CASNo_Ref,{{cascite|correct|CAS}},
Carbonic acid,H2CO3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbonic acid,H2CO3,ChemSpiderID,747,
Carbonic acid,H2CO3,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbonic acid,H2CO3,ChEBI,28976,
Carbonic acid,H2CO3,SMILES,O=C(O)O,
Carbonic acid,H2CO3,MolarMass,62.03,g/mol
Carbonic acid,H2CO3,Density,1.668,g/cm3
Carbonic acid,H2CO3,Solubility,Exists only in solution,
Carbonic acid,H2CO3,pKa,3.6,"(p''K''a1 for H2CO3 only), 6.3 (p''K''a1 including CO2(aq)), 10.32 (p''K''a2)"
Carbonyl fluoride,COF2,SMILES,FC(F)=O,
Carbonyl fluoride,COF2,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbonyl fluoride,COF2,ChemSpiderID,9246,
Carbonyl fluoride,COF2,InChI,1/CF2O/c2-1(3)4,
Carbonyl fluoride,COF2,InChIKey,IYRWEQXVUNLMAY-UHFFFAOYAE,
Carbonyl fluoride,COF2,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbonyl fluoride,COF2,StdInChI,1S/CF2O/c2-1(3)4,
Carbonyl fluoride,COF2,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbonyl fluoride,COF2,StdInChIKey,IYRWEQXVUNLMAY-UHFFFAOYSA-N,
Carbonyl fluoride,COF2,CASNo,353-50-4,
Carbonyl fluoride,COF2,CASNo_Ref,{{cascite|correct|CAS}},
Carbonyl fluoride,COF2,RTECS,FG6125000,
Carbonyl fluoride,COF2,UNNumber,2417,
Carbonyl fluoride,COF2,PubChem,9623,
Carbonyl fluoride,COF2,MolarMass,66.01,g mol−1
Carbonyl fluoride,COF2,Appearance,Colorless gas,
Carbonyl fluoride,COF2,Density,2.698,"g/L (gas), 1.139 g/cm3 (liquid at melting point)"
Carbonyl fluoride,COF2,Solubility,reacts violently with water,
Carbonyl fluoride,COF2,MeltingPtC,-111.26,
Carbonyl fluoride,COF2,BoilingPtC,-84.57,
Carbonyl fluoride,COF2,VaporPressure,55.4,atm (20°C)
Carbonyl fluoride,COF2,MolShape,C2v,
Carbonyl fluoride,COF2,Dipole,0.95,[[Debye|D]]
Carbonyl fluoride,COF2,MainHazards,"Highly toxic (Often fatal), Water reactive",
Carbonyl fluoride,COF2,FlashPt,Non-flammable,
Carbonyl fluoride,COF2,NFPA-H,4,
Carbonyl fluoride,COF2,NFPA-F,0,
Carbonyl fluoride,COF2,NFPA-R,2,
Carbonyl fluoride,COF2,NFPA-S,W,
Carbonyl fluoride,COF2,PEL,none,
Carbonyl fluoride,COF2,REL,2,ppm (5 mg/m3) ST 5 ppm (15 mg/m3)
Carbonyl fluoride,COF2,IDLH,N.D.,
Carbonyl fluoride,COF2,OtherCompounds,[[Phosgene]][[Carbonyl bromide]][[Formyl fluoride]][[Thiocarbonyl chloride]],
Carbonyl sulfide,COS,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Carbonyl sulfide,COS,ChemSpiderID,9644,
Carbonyl sulfide,COS,KEGG_Ref,{{keggcite|correct|kegg}},
Carbonyl sulfide,COS,KEGG,C07331,
Carbonyl sulfide,COS,InChI,1/COS/c2-1-3,
Carbonyl sulfide,COS,InChIKey,JJWKPURADFRFRB-UHFFFAOYAF,
Carbonyl sulfide,COS,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Carbonyl sulfide,COS,StdInChI,1S/COS/c2-1-3,
Carbonyl sulfide,COS,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Carbonyl sulfide,COS,StdInChIKey,JJWKPURADFRFRB-UHFFFAOYSA-N,
Carbonyl sulfide,COS,CASNo,463-58-1,
Carbonyl sulfide,COS,CASNo_Ref,{{cascite|correct|CAS}},
Carbonyl sulfide,COS,ChEBI_Ref,{{ebicite|correct|EBI}},
Carbonyl sulfide,COS,ChEBI,16573,
Carbonyl sulfide,COS,SMILES,O=C=S,
Carbonyl sulfide,COS,PubChem,10039,
Carbonyl sulfide,COS,EINECS,207-340-0,
Carbonyl sulfide,COS,MolarMass,60.075,g/mol
Carbonyl sulfide,COS,Appearance,colorless gas,
Carbonyl sulfide,COS,Odor,sulfide-like,
Carbonyl sulfide,COS,MeltingPtC,−138.8,
Carbonyl sulfide,COS,BoilingPtC,−50.2,
Carbonyl sulfide,COS,Density,2.51,g/L
Carbonyl sulfide,COS,Solubility,0.376,g/100 mL (0 °C)  0.125 g/100 mL (25 °C)
Carbonyl sulfide,COS,SolubleOther,"very soluble in [[potassium hydroxide|KOH]], [[carbon disulfide|CS2]]  soluble in [[alcohol]], [[toluene]]",
Carbonyl sulfide,COS,Dipole,0.65,D
Carbonyl sulfide,COS,DeltaHf,-141.8,kJ/mol
Carbonyl sulfide,COS,Entropy,231.5,J/mol K
Carbonyl sulfide,COS,HeatCapacity,41.5,J/mol K
Carbonyl sulfide,COS,ExternalSDS,[http://ptcl.chem.ox.ac.uk/MSDS/CA/carbonyl_sulfide.html Carbonyl sulfide MSDS],
Carbonyl sulfide,COS,NFPA-H,3,
Carbonyl sulfide,COS,NFPA-F,4,
Carbonyl sulfide,COS,NFPA-R,1,
Carbonyl sulfide,COS,ExploLimits,12-29%,
Carbonyl sulfide,COS,OtherCompounds,[[Carbon dioxide]][[Carbon disulfide]],
Cerium(III) bromide,CeBr3,ChemSpiderID_Ref,{{chemspidercite|correct|chemspider}},
Cerium(III) bromide,CeBr3,ChemSpiderID,76185,
Cerium(III) bromide,CeBr3,InChI,1/3BrH.Ce/h3*1H;/q;;;+3/p-3,
Cerium(III) bromide,CeBr3,InChIKey,MOOUSOJAOQPDEH-DFZHHIFOAB,
Cerium(III) bromide,CeBr3,SMILES,[Ce+3].[Br-].[Br-].[Br-],
Cerium(III) bromide,CeBr3,StdInChI_Ref,{{stdinchicite|correct|chemspider}},
Cerium(III) bromide,CeBr3,StdInChI,1S/3BrH.Ce/h3*1H;/q;;;+3/p-3,
Cerium(III) bromide,CeBr3,StdInChIKey_Ref,{{stdinchicite|correct|chemspider}},
Cerium(III) bromide,CeBr3,StdInChIKey,MOOUSOJAOQPDEH-UHFFFAOYSA-K,
Cerium(III) bromide,CeBr3,CASNo_Ref,{{cascite|correct|??}},
Cerium(III) bromide,CeBr3,CASNo,14457-87-5,
Cerium(III) bromide,CeBr3,UNII_Ref,{{fdacite|correct|FDA}},
Cerium(III) bromide,CeBr3,UNII,GEM75FEL39,
Cerium(III) bromide,CeBr3,PubChem,292780,
Cerium(III) bromide,CeBr3,MolarMass,379.828,g/mol
Cerium(III) bromide,CeBr3,Appearance,"grey to white solid, [[hygroscopic]]",
Cerium(III) bromide,CeBr3,Density,5.1,"g/cm3, solid"
Cerium(III) bromide,CeBr3,Solubility,Not Published Yet,
Cerium(III) bromide,CeBr3,MeltingPtC,722,
Cerium(III) bromide,CeBr3,BoilingPtC,1457,
Cerium(III) bromide,CeBr3,Coordination,Tricapped trigonal prismatic(nine-coordinate),
Cerium(III) bromide,CeBr3,CrystalStruct,3,"type]]), [[Pearson symbol|hP8]]"
Cerium(III) bromide,CeBr3,SpaceGroup,"P63/m, No. 176",
Cerium(III) bromide,CeBr3,EUClass,not listed,
Cerium(III) bromide,CeBr3,FlashPt,Non-flammable,
Cerium(III) bromide,CeBr3,OtherAnions,[[Cerium(III) fluoride]][[Cerium(III) chloride]][[Cerium(III) iodide]],
Cerium(III) bromide,CeBr3,OtherCations,[[Lanthanum(III) bromide]][[Praseodymium(III) bromide]],
